record,group,time_s,r_cm,z_cm,value,metric
field,Q2/Q3,10800.0,1.418701171875,0.95672607421875,-5.088910089545706e-06,delta_C
field,Q2/Q3,10800.0,1.451904296875,0.95672607421875,-4.237423411712626e-06,delta_C
field,Q2/Q3,10800.0,1.484130859375,0.95672607421875,-3.411425638200072e-06,delta_C
field,Q2/Q3,10800.0,1.515380859375,0.95672607421875,-2.6120493139547563e-06,delta_C
field,Q2/Q3,10800.0,1.545654296875,0.95672607421875,-1.8402334152067823e-06,delta_C
field,Q2/Q3,10800.0,1.5749511718750002,0.95672607421875,-1.0967340926537616e-06,delta_C
field,Q2/Q3,10800.0,1.603271484375,0.95672607421875,-3.8213585518143134e-07,delta_C
field,Q2/Q3,10800.0,1.6306152343750002,0.95672607421875,3.0313696841588467e-07,delta_C
field,Q2/Q3,10800.0,1.656982421875,0.95672607421875,9.588086542500207e-07,delta_C
field,Q2/Q3,10800.0,1.682373046875,0.95672607421875,1.5847405014923766e-06,delta_C
field,Q2/Q3,10800.0,1.706787109375,0.95672607421875,2.1809193180288844e-06,delta_C
field,Q2/Q3,10800.0,1.730224609375,0.95672607421875,2.7474460326804007e-06,delta_C
field,Q2/Q3,10800.0,1.7526855468750002,0.95672607421875,3.2845244584134292e-06,delta_C
field,Q2/Q3,10800.0,1.774169921875,0.95672607421875,3.7924502382935543e-06,delta_C
field,Q2/Q3,10800.0,1.7946777343750002,0.95672607421875,4.2715999657438886e-06,delta_C
field,Q2/Q3,10800.0,1.814208984375,0.95672607421875,4.722420448688425e-06,delta_C
field,Q2/Q3,10800.0,1.8327636718750002,0.95672607421875,5.1454180276522266e-06,delta_C
field,Q2/Q3,10800.0,1.8503417968750002,0.95672607421875,5.5411478963041105e-06,delta_C
field,Q2/Q3,10800.0,1.866943359375,0.95672607421875,5.910203420445015e-06,delta_C
field,Q2/Q3,10800.0,1.882568359375,0.95672607421875,6.25320561087328e-06,delta_C
field,Q2/Q3,10800.0,1.8972167968750002,0.95672607421875,6.570792911331225e-06,delta_C
field,Q2/Q3,10800.0,1.910888671875,0.95672607421875,6.863611387908364e-06,delta_C
field,Q2/Q3,10800.0,1.9235839843750002,0.95672607421875,7.132305409829343e-06,delta_C
field,Q2/Q3,10800.0,1.935302734375,0.95672607421875,7.37750896351308e-06,delta_C
field,Q2/Q3,10800.0,1.9460449218750002,0.95672607421875,7.599837664518105e-06,delta_C
field,Q2/Q3,10800.0,1.955810546875,0.95672607421875,7.799881450276658e-06,delta_C
field,Q2/Q3,10800.0,1.964599609375,0.95672607421875,7.978197912317242e-06,delta_C
field,Q2/Q3,10800.0,1.9724121093750002,0.95672607421875,8.135306230228068e-06,delta_C
field,Q2/Q3,10800.0,1.9792480468750002,0.95672607421875,8.271681713134527e-06,delta_C
field,Q2/Q3,10800.0,1.985107421875,0.95672607421875,8.387750939808924e-06,delta_C
field,Q2/Q3,10800.0,1.9899902343750002,0.95672607421875,8.48388749652429e-06,delta_C
field,Q2/Q3,10800.0,1.993896484375,0.95672607421875,8.560408319757684e-06,delta_C
field,Q2/Q3,10800.0,1.9968261718750002,0.95672607421875,8.617570637303729e-06,delta_C
field,Q2/Q3,10800.0,1.998779296875,0.95672607421875,8.655569520010786e-06,delta_C
field,Q2/Q3,10800.0,1.999755859375,0.95672607421875,8.674536039698921e-06,delta_C
field,Q2/Q3,10800.0,0.031005859375,1.32904052734375,-3.2617821820624116e-05,delta_C
field,Q2/Q3,10800.0,0.092529296875,1.32904052734375,-3.249714332920206e-05,delta_C
field,Q2/Q3,10800.0,0.153076171875,1.32904052734375,-3.2261944328038084e-05,delta_C
field,Q2/Q3,10800.0,0.21264648437500003,1.32904052734375,-3.1918676720144035e-05,delta_C
field,Q2/Q3,10800.0,0.271240234375,1.32904052734375,-3.147401958458751e-05,delta_C
field,Q2/Q3,10800.0,0.328857421875,1.32904052734375,-3.093481694760314e-05,delta_C
field,Q2/Q3,10800.0,0.385498046875,1.32904052734375,-3.0308020253277945e-05,delta_C
field,Q2/Q3,10800.0,0.441162109375,1.32904052734375,-2.9600635383708607e-05,delta_C
field,Q2/Q3,10800.0,0.49584960937499994,1.32904052734375,-2.881967407186714e-05,delta_C
field,Q2/Q3,10800.0,0.549560546875,1.32904052734375,-2.797210954952334e-05,delta_C
field,Q2/Q3,10800.0,0.602294921875,1.32904052734375,-2.7064836281898152e-05,delta_C
field,Q2/Q3,10800.0,0.654052734375,1.32904052734375,-2.6104633624512985e-05,delta_C
